997.04528	0.00629
960.96544	0.00474
942.35604	1
849.72751	0.09143
834.72193	0.09754
811.75292	0.00927
795.83314	0.009
780.67997	0.17165
731.44568	0.03364
696.20963	0.00288
688.31656	6.75684E-4
684.2479	0.35826
656.58476	0.00267
622.8654	0.02362
613.56881	0.01608
593.77684	0.02768
579.38016	0.00979
578.49344	0.04531
574.06547	0.01474
554.95776	0.00259
525.97468	0.05331
508.17257	0.00644
506.21666	0.20004
482.74294	0.05981
472.69475	0.09972
466.56163	0.02699
459.28639	0.08229
449.8034	0.02417
441.68863	0.06639
437.55608	0.03858
437.45878	0.02158
420.66721	0.02317
413.61076	0.07519
412.57615	0.04161
400.52164	0.0179
394.27976	0.0895
381.77959	0.00212
373.14275	0.01674
345.42282	0.13093
338.71916	0.04163
336.34403	0.04154
319.17636	0.02633
308.52653	0.03372
308.26856	0.0054
290.31616	0.0282
281.89978	0.07521
265.64228	0.01049
260.31472	0.05425
257.8633	0.00246
241.20899	0.1023
232.54319	0.003
218.05387	0.11841
217.67352	0.13209
217.33297	0.04658
201.5818	0.00493
195.10644	0.01638
181.04316	0.00264
176.46616	0.04211
169.27019	0.11138
161.71037	0.00371
161.65668	0.00391
157.81114	0.00819
149.09966	0.00172
147.94904	0.00819
124.37891	0.00123
89.10683	0.42958
