100	896.73236
100.491	917.23596
100.98199	972.836
101.47299	996.49054
101.964	1043.8911
102.45499	1134.3058
102.94599	1182.5709
103.43699	1270.7704
103.92799	1367.697
104.41898	1497.9395
104.90998	1656.271
105.40099	1827.1
105.89198	2023.193
106.38298	2298.3672
106.87398	2708.9182
107.36497	3262.2336
107.85597	3951.5195
108.34697	4732.2139
108.83797	5549.4082
109.32897	6324.2754
109.81997	7023.1616
110.31097	7362.208
110.80196	7319.394
111.29296	6990.0908
111.78396	6322.0107
112.27496	5397.104
112.76596	4451.7432
113.25696	3617.094
113.74796	2952.8542
114.23895	2436.7354
114.72995	2041.9561
115.22095	1821.713
115.71194	1659.1147
116.20295	1522.6726
116.69395	1425.7004
117.18494	1347.4404
117.67594	1202.838
118.16694	1190.0493
118.65794	1139.1447
119.14893	1065.1759
119.63993	1032.9778
120.13094	1026.6213
120.62193	1021.7882
121.11293	997.16821
121.60393	973.56689
122.09492	957.73663
122.58592	941.85254
123.07692	919.77496
123.56792	879.24872
124.05892	890.81622
124.54992	854.89795
125.04092	857.64459
125.53191	854.79114
126.02291	805.4682
126.51391	861.16376
127.00491	846.88068
127.49591	854.38458
127.98691	832.65186
128.47791	803.52515
128.9689	790.7511
129.4599	803.75214
129.9509	811.12903
130.44189	799.88104
130.93289	810.25409
131.42389	850.55609
131.91489	871.24591
132.4059	867.22528
132.8969	863.90912
133.38789	878.30457
133.87889	908.09253
134.36989	949.44464
134.86089	998.35095
135.35188	1017.1267
135.84288	1097.5393
136.33388	1166.6544
136.82487	1255.5808
137.31587	1369.5432
137.80687	1526.9989
138.29787	1701.2941
138.78886	1910.9528
139.27986	2209.1047
139.77087	2580.4333
140.26187	3001.8247
140.75287	3447.6313
141.24387	3878.6775
141.73486	4189.9844
142.22586	4334.6563
142.71686	4298.9492
143.20786	3990.5771
143.69885	3571.0469
144.18985	3066.6006
144.68085	2604.7886
145.17184	2202.9705
145.66284	1889.5918
146.15384	1665.101
146.64485	1495.5845
147.13585	1361.6978
147.62685	1251.3888
148.11784	1148.0598
148.60884	1062.7717
149.09984	1017.7925
149.59084	989.10913
150.08183	967.26154
150.57283	942.43695
151.06383	898.25348
151.55482	858.1026
152.04582	838.44128
152.53682	849.37885
153.02782	839.21832
153.51881	833.09271
154.00983	853.88306
